City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
446,Oistins,BB,13.0667,-59.5333,83.62,73,0,17.22,clear sky
447,Vila,PT,42.0304,-8.1588,64.33,52,61,12.06,broken clouds
448,Trairi,BR,-3.2778,-39.2689,89.53,41,85,14.32,overcast clouds
449,Roros,NO,62.5747,11.3842,55.24,58,90,6.91,overcast clouds
450,Tanete,ID,-3.9443,119.7848,73.89,93,87,3.29,light rain
451,Novo Mesto,SI,45.804,15.1689,90.43,33,31,10.4,scattered clouds
452,Upington,ZA,-28.4478,21.2561,74.08,12,0,10.58,clear sky
453,Pila,PL,53.1515,16.7378,78.24,34,61,16.8,broken clouds
454,Boa Vista,BR,2.8197,-60.6733,80.58,74,75,4.61,broken clouds
455,Sarakhs,IR,36.5449,61.1577,89.4,11,0,10.76,clear sky
456,Huancabamba,PE,-5.2386,-79.4506,68.43,57,27,7.92,scattered clouds
457,Adrar,MR,20.5022,-10.0711,107.42,16,54,7.43,broken clouds
458,Letlhakane,BW,-21.4167,25.5833,71.38,25,0,14.0,clear sky
459,Tankara,IN,22.6667,70.7333,82.58,77,100,21.21,overcast clouds
460,Hauge,NO,58.3436,6.2812,62.89,65,44,23.15,scattered clouds
461,Riverton,US,40.5219,-111.9391,81.09,59,1,3.0,clear sky
462,Ati,TD,13.2154,18.3353,86.25,57,96,11.14,overcast clouds
463,Tuatapere,NZ,-46.1333,167.6833,47.82,98,100,1.59,light rain
464,Likasi,CD,-10.9814,26.7333,76.53,26,0,8.52,clear sky
465,Lata,PT,40.1629,-8.3327,78.04,43,100,14.81,overcast clouds
466,Dong Hoi,VN,17.4833,106.6,84.11,72,100,10.47,overcast clouds
467,Waingapu,ID,-9.6567,120.2641,75.09,78,38,7.0,scattered clouds
468,Workington,GB,54.6425,-3.5441,64.49,81,77,16.6,broken clouds
469,Kismayo,SO,-0.3582,42.5454,77.04,76,97,17.67,overcast clouds
470,Belis,RO,46.65,23.0333,80.6,47,57,6.91,moderate rain
471,Xico,MX,19.2667,-98.9333,60.08,72,63,4.25,broken clouds
472,Anadyr,RU,64.75,177.4833,41.0,86,62,1.99,broken clouds
473,Havoysund,NO,70.9963,24.6622,47.28,92,100,9.31,light rain
474,Hinton,CA,53.4001,-117.5857,70.38,62,0,1.66,clear sky
475,Aswan,EG,24.0934,32.907,105.87,9,26,11.3,scattered clouds
476,Sychevka,RU,55.8252,34.2736,72.81,53,60,9.53,broken clouds
477,Tondano,ID,1.3038,124.9112,68.09,95,23,1.99,few clouds
478,Halifax,CA,44.6453,-63.5724,69.53,68,19,3.0,few clouds
479,Roald,NO,62.5833,6.1333,60.91,76,75,16.11,light intensity drizzle
480,Fussen,DE,47.8739,12.1695,75.65,64,89,2.89,light rain
481,Mantua,IT,45.1667,10.7833,91.35,48,2,6.55,clear sky
482,Atbasar,KZ,51.8,68.3333,76.28,50,15,7.85,few clouds
483,Warmbad,NA,-28.45,18.7333,79.45,9,21,8.52,few clouds
484,Ust-Uda,RU,54.1742,103.0304,65.52,69,100,4.23,overcast clouds
485,Lorengau,PG,-2.0226,147.2712,80.42,78,99,2.8,overcast clouds
486,Ornskoldsvik,SE,63.2909,18.7153,67.82,82,90,5.75,overcast clouds
487,Port Shepstone,ZA,-30.7414,30.455,67.35,68,0,13.38,clear sky
488,Tamandare,BR,-8.7597,-35.1047,80.04,73,10,14.16,clear sky
489,Namatanai,PG,-3.6667,152.4333,78.73,83,6,6.53,light rain
490,Camana,PE,-16.6228,-72.7111,65.53,69,35,9.98,scattered clouds
491,Tautira,PF,-17.7333,-149.15,69.82,62,100,13.24,overcast clouds
492,Moskovskiy,RU,55.5991,37.355,78.58,39,0,17.9,clear sky
493,Riohacha,CO,11.5444,-72.9072,89.22,54,13,18.57,few clouds
494,Alice Springs,AU,-23.7,133.8833,67.55,28,0,5.75,clear sky
495,La Maddalena,IT,41.2142,9.4083,91.56,66,8,2.24,clear sky
496,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,78,20,16.11,few clouds
497,Hampton,US,37.0299,-76.3452,83.32,73,75,8.01,broken clouds
498,Acari,PE,-15.4311,-74.6158,70.57,59,58,6.29,broken clouds
499,Puerto Escondido,MX,15.85,-97.0667,86.83,74,20,0.0,few clouds
500,Padang,ID,-0.9492,100.3543,75.25,88,99,3.2,light rain
501,Nichinan,JP,31.6,131.3667,80.76,89,100,4.05,overcast clouds
502,Raga,SS,8.4596,25.678,71.91,90,100,1.81,overcast clouds
503,Sobolevo,RU,54.4299,31.8996,76.64,49,17,9.6,few clouds
504,Mlonggo,ID,-6.5333,110.7,79.11,78,19,5.7,few clouds
505,Zhengjiatun,CN,43.5064,123.5064,71.38,99,86,6.78,overcast clouds
506,Pacific Grove,US,36.6177,-121.9166,63.01,93,90,1.01,mist
507,Almeirim,BR,-1.5233,-52.5817,74.19,97,99,2.17,overcast clouds
508,Grafton,US,42.207,-71.6856,70.74,61,1,1.01,clear sky
509,Biak,ID,-0.9131,122.8766,75.79,85,19,5.86,few clouds
510,Hulst,NL,51.28,4.0528,73.11,67,78,3.0,broken clouds
511,Kaeo,NZ,-35.1,173.7833,54.32,91,97,12.68,overcast clouds
512,Hamilton,US,39.1834,-84.5333,75.99,71,98,1.01,overcast clouds
513,Tumen,CN,42.9661,129.8425,75.31,94,94,8.25,overcast clouds
